held_out,model,r2,mae,spearman,sign_acc,n_te
wet_route,flat-GBT,-0.5308701830842388,0.1331527739316711,0.2369080306917864,0.4625,160
wet_route,blind-GBT,0.324343382764701,0.08781774244460726,0.39043199075593665,0.46875,160
copra_buy,flat-GBT,-0.8978632418201367,0.1288895128065543,0.19790202912848034,0.4875,160
copra_buy,blind-GBT,-0.9619396471439867,0.13333980851758692,0.18342117801411353,0.44375,160
solar_train,flat-GBT,0.7914523586669678,0.04341950695793652,0.8747941560989181,0.9125,80
solar_train,blind-GBT,0.5737851845634903,0.062282811550052684,0.8762006341022124,0.9375,80
crude_bypass,flat-GBT,-7.837805554800955,0.11986167617055812,-0.24736247961516078,0.18125,160
crude_bypass,blind-GBT,-8.397122304676143,0.13997918428305187,-0.15217041482130617,0.1375,160
crude_bypass,GAT,-6.740223041904999,0.1426291024052258,-0.20547400267498203,0.9625,160
wet_route,GAT,-2.6821598630605497,0.2329065125808337,-0.571736306650961,0.3375,160
copra_buy,GAT,-2.506676940905774,0.19291648485535692,0.42044791571467804,0.4875,160
solar_train,GAT,0.24062836876563964,0.09549852873243639,0.7568213783403657,0.675,80
