k,subset,seed,model,r2,mae,rho
3,0,0,GAT,-3.79835797932859,0.13828908453807184,-0.5031383117417434
3,0,1,GAT,-4.97732980842108,0.16265672617325477,-0.2759714320744443
3,0,2,GAT,-9.476311064703008,0.20416720447431516,-0.19057178778851921
3,0,0,flat,-1.556623455972701,0.07119499311996326,0.21611737137849862
3,1,0,GAT,-5.405341090745599,0.20984386806681127,-0.19815979052582222
3,1,1,GAT,-7.680113433436711,0.2671983611024485,-0.3354984944562607
3,1,2,GAT,-4.261342962973986,0.2073475078740647,0.17025354527652478
3,1,0,flat,-0.9839958888293632,0.09851910245773861,-0.028463789440740146
3,2,0,GAT,-3.0627948225098542,0.18189760405200045,-0.07868411598351345
3,2,1,GAT,-2.715275012595167,0.17361357780370204,0.12436776873830287
3,2,2,GAT,-2.0664925474653466,0.14701357730652828,-0.03736469181777522
3,2,0,flat,-1.015300454864748,0.09822402105952241,0.06232584081574721
3,3,0,GAT,-0.10779537429303754,0.07150162293261153,0.1136003017889015
3,3,1,GAT,0.09212166994158555,0.07438640180693698,0.32668551513907373
3,3,2,GAT,-0.8493353989234533,0.1205158640222955,0.04576043510520879
3,3,0,flat,-0.06628768899665038,0.05641979247285715,0.0003214059537033052
3,4,0,GAT,0.010541685227271391,0.06063107915132517,0.37610633893589324
3,4,1,GAT,-1.169945205072989,0.08979373345127048,0.13897293963050314
3,4,2,GAT,-6.8511600446210466,0.18323898703599112,0.21284264332291652
3,4,0,flat,-1.225225014367696,0.07451782690835655,0.2039104891228542
3,5,0,GAT,-3.0199574314165982,0.19806865039000002,-0.022073300114957464
3,5,1,GAT,-3.2568674729676754,0.19448708483978958,0.0748316373381752
3,5,2,GAT,-1.6618979550721278,0.15382658729136076,0.18091688449651042
3,5,0,flat,-0.36448915750906563,0.08283621499318206,0.05923676355321887
3,6,0,GAT,-1.027049488921651,0.1224746813957907,0.29158451111782885
3,6,1,GAT,-2.065290294911595,0.1651561726434706,-0.3106837375105946
3,6,2,GAT,-0.20371361437657232,0.08861009501492585,0.25134784270538885
3,6,0,flat,-0.10049618686527051,0.07996552138329618,0.08169993722841638
3,7,0,GAT,-0.5057315258860453,0.1016186603142347,0.01128173549795939
