option,contract,tau,D_star,slope,D_star_logit,conditional,p_exceed,n
copra_buy,hot,2.0,,,,0,,0
copra_buy,hot,6.0,,,,0,,0
copra_buy,hot,12.0,2.307026979429508,0.003082934375352226,1074.7852682842972,1,1.0,32
copra_buy,hot,18.0,2.3232029426108696,0.003145825877372538,1074.7852682842972,1,1.0,32
copra_buy,hot,24.0,2.341688151053008,0.0031869842851934113,1074.7852682842972,1,1.0,32
copra_buy,hot,30.0,2.3605261350594082,0.003214507658163136,1074.7852682842972,1,1.0,32
copra_buy,hot,36.0,1.8344903596225233,0.0031810124184156806,54.56583522522779,1,1.0,32
copra_buy,hot,48.0,1.2600289100667037,0.0031430181468557403,54.56583522522779,1,1.0,32
copra_buy,hot,12500.0,,,,0,,0
copra_buy,hot,25000.0,,,,0,,0
copra_buy,hot,50000.0,,,,0,,0
copra_buy,hot,100000.0,,,,0,,0
copra_buy,hot,200000.0,,,,0,,0
crude_bypass,capacity,2.0,,,,0,,0
crude_bypass,capacity,6.0,,,,0,,0
crude_bypass,capacity,12.0,,,,0,,0
crude_bypass,capacity,18.0,,,,0,,0
crude_bypass,capacity,24.0,,,,0,,0
crude_bypass,capacity,30.0,,,,0,,0
crude_bypass,capacity,36.0,,,,0,,0
crude_bypass,capacity,48.0,,,,0,,0
crude_bypass,capacity,12500.0,-75.83769563408116,0.0008338104861041514,19.483967025413275,0,1.0,60
crude_bypass,capacity,25000.0,27.989375320627307,0.0022682732490802004,93.05613458314717,1,0.6833333333333333,60
crude_bypass,capacity,50000.0,45.37014489809813,0.001296942973268769,80.45363240761692,1,0.4166666666666667,60
crude_bypass,capacity,100000.0,112.6010898008191,0.00031158760611890495,,1,0.0,58
crude_bypass,capacity,200000.0,66.22469367234268,0.000692896867561311,80.1920741604856,1,0.1,60
crude_bypass,crude_com,2.0,69.34678088779935,0.0006452802648492346,93.91053122307174,1,0.0,16
crude_bypass,crude_com,6.0,69.34670845197338,0.0006452797102413279,93.91053122307174,1,0.0,16
crude_bypass,crude_com,12.0,69.34053625036705,0.0006451633510767819,93.91053122307174,1,0.0,16
crude_bypass,crude_com,18.0,,,,0,,0
crude_bypass,crude_com,24.0,69.23902213856894,0.0006426048649806052,93.91053122307174,1,0.0,16
crude_bypass,crude_com,30.0,,,,0,,0
crude_bypass,crude_com,36.0,69.00753965135367,0.0006361803490374883,93.91053122307174,1,0.0625,16
crude_bypass,crude_com,48.0,68.69149032121962,0.000627296160755033,93.91053122307174,1,0.0625,16
crude_bypass,crude_com,12500.0,,,,0,,0
crude_bypass,crude_com,25000.0,,,,0,,0
crude_bypass,crude_com,50000.0,,,,0,,0
crude_bypass,crude_com,100000.0,,,,0,,0
crude_bypass,crude_com,200000.0,,,,0,,0
crude_bypass,hot,2.0,,,,0,,0
crude_bypass,hot,6.0,,,,0,,0
crude_bypass,hot,12.0,66.56685644435224,0.0006892773948800328,93.91053122307174,1,0.53125,32
crude_bypass,hot,18.0,67.93912870782786,0.000667406271385815,93.91053122307174,1,0.53125,32
crude_bypass,hot,24.0,68.79479548416661,0.0006539562034697745,93.91053122307174,1,0.53125,32
crude_bypass,hot,30.0,69.34678444282176,0.0006452804414287178,93.91053122307174,1,0.5,32
crude_bypass,hot,36.0,69.71400784487324,0.0006394836279984516,93.91053122307174,1,0.5,32
crude_bypass,hot,48.0,70.14050635111911,0.0006327048416397413,93.91053122307174,1,0.5,32
crude_bypass,hot,12500.0,,,,0,,0
crude_bypass,hot,25000.0,,,,0,,0
crude_bypass,hot,50000.0,,,,0,,0
crude_bypass,hot,100000.0,,,,0,,0
crude_bypass,hot,200000.0,,,,0,,0
nut_sale,cold,2.0,,,,0,,0
nut_sale,cold,6.0,,,,0,,0
nut_sale,cold,12.0,8.09690203348452,0.0010906392094540704,1074.7852682842972,1,1.0,16
nut_sale,cold,18.0,8.108666532819102,0.0011128489808838334,1074.7852682842972,1,1.0,16
nut_sale,cold,24.0,8.122159527682944,0.0011273651691690618,1074.7852682842972,1,1.0,16
nut_sale,cold,30.0,8.135977389241555,0.0011370597352052029,1074.7852682842972,1,1.0,16
nut_sale,cold,36.0,8.148978698953334,0.001143670460834171,1074.7852682842972,1,1.0,16
nut_sale,cold,48.0,8.170419179396994,0.0011515206432579823,1074.7852682842972,1,1.0,16
nut_sale,cold,12500.0,,,,0,,0
nut_sale,cold,25000.0,,,,0,,0
nut_sale,cold,50000.0,,,,0,,0
nut_sale,cold,100000.0,,,,0,,0
nut_sale,cold,200000.0,,,,0,,0
nut_sale,hot,2.0,,,,0,,0
nut_sale,hot,6.0,,,,0,,0
nut_sale,hot,12.0,8.09690203348452,0.0010906392094540704,1074.7852682842972,1,1.0,32
nut_sale,hot,18.0,8.108666532819102,0.0011128489808838334,1074.7852682842972,1,1.0,32
nut_sale,hot,24.0,8.122159527682944,0.0011273651691690618,1074.7852682842972,1,1.0,32
nut_sale,hot,30.0,8.135977389241555,0.0011370597352052029,1074.7852682842972,1,1.0,32
nut_sale,hot,36.0,8.148978698953334,0.001143670460834171,1074.7852682842972,1,1.0,32
nut_sale,hot,48.0,8.170419179396994,0.0011515206432579823,1074.7852682842972,1,1.0,32
nut_sale,hot,12500.0,,,,0,,0
nut_sale,hot,25000.0,,,,0,,0
nut_sale,hot,50000.0,,,,0,,0
nut_sale,hot,100000.0,,,,0,,0
nut_sale,hot,200000.0,,,,0,,0
solar_train,cold,2.0,,,,0,,0
solar_train,cold,6.0,,,,0,,0
solar_train,cold,12.0,12.18742239345139,0.0024553334771956845,-1.1755435675260792,1,0.9375,16
solar_train,cold,18.0,13.456377839744325,0.002206975521024488,-1.1755435675260792,1,0.875,16
solar_train,cold,24.0,14.213077460180237,0.0019830674328829537,13.769999561529406,1,0.875,16
solar_train,cold,30.0,14.726260263079027,0.001792544868903169,15.244256626218727,1,0.875,16
solar_train,cold,36.0,15.099857748012951,0.001631341533462221,15.244256626218727,1,0.875,16
solar_train,cold,48.0,15.603819491845131,0.001376421437608971,15.244256626218727,1,0.875,16
solar_train,cold,12500.0,,,,0,,0
solar_train,cold,25000.0,,,,0,,0
solar_train,cold,50000.0,,,,0,,0
solar_train,cold,100000.0,,,,0,,0
solar_train,cold,200000.0,,,,0,,0
solar_train,hot,2.0,,,,0,,0
solar_train,hot,6.0,,,,0,,0
solar_train,hot,12.0,4.27706353126862,0.0027207204124633866,9.72967098641116,1,1.0,32
solar_train,hot,18.0,4.06375846099048,0.002721244952639186,9.72967098641116,1,1.0,32
solar_train,hot,24.0,3.9217697833459777,0.002724308843634336,15.244256626218727,1,1.0,32
solar_train,hot,30.0,3.83352560380451,0.002728167430990997,15.244256626218727,1,1.0,32
solar_train,hot,36.0,3.7804853680371617,0.00273193847670738,15.244256626218727,1,1.0,32
solar_train,hot,48.0,3.73099666671546,0.00273804635772448,15.244256626218727,1,1.0,32
solar_train,hot,12500.0,,,,0,,0
solar_train,hot,25000.0,,,,0,,0
solar_train,hot,50000.0,,,,0,,0
solar_train,hot,100000.0,,,,0,,0
solar_train,hot,200000.0,,,,0,,0
wet_route,hot,2.0,,,,0,,0
wet_route,hot,6.0,,,,0,,0
wet_route,hot,12.0,6.874314044934832,0.003577594846655328,1074.7852682842972,1,1.0,32
wet_route,hot,18.0,6.886922030082088,0.003650474638356882,1074.7852682842972,1,1.0,32
wet_route,hot,24.0,6.901372493352392,0.003698120761193477,1074.7852682842972,1,1.0,32
wet_route,hot,30.0,6.916170530967765,0.0037299511077647477,1074.7852682842972,1,1.0,32
wet_route,hot,36.0,6.93009470575429,0.0037516636510482896,1074.7852682842972,1,1.0,32
wet_route,hot,48.0,6.953043520144148,0.0037774579053613143,1074.7852682842972,1,1.0,32
wet_route,hot,12500.0,,,,0,,0
wet_route,hot,25000.0,,,,0,,0
wet_route,hot,50000.0,,,,0,,0
wet_route,hot,100000.0,,,,0,,0
wet_route,hot,200000.0,,,,0,,0
